142,"(0, 2)"
covid,"(0, 6)"
tweet,"(0, 1)"
email,"(0, 1)"
cape,"(0, 5)"
town,"(0, 1)"
coronavirus,"(0, 2)"
zweli,"(0, 2)"
mkhize,"(0, 2)"
monday,"(0, 2)"
gauteng,"(0, 2)"
province,"(0, 3)"
infections,"(0, 3)"
kwazulu,"(0, 2)"
natal,"(0, 2)"
virus,"(0, 3)"
northern,"(0, 2)"
mpumanga,"(0, 1)"
provinces,"(0, 1)"
lowest,"(0, 1)"
infection,"(0, 1)"
rates,"(0, 1)"
breakdown,"(0, 3)"
per,"(0, 1)"
recoveries,"(0, 1)"
1170,"(0, 1)"
545,"(0, 1)"
940,"(0, 1)"
216,"(0, 1)"
639,"(0, 1)"
151,"(0, 1)"
310,"(0, 1)"
free,"(0, 1)"
105,"(0, 1)"
74,"(0, 1)"
limpopo,"(0, 1)"
0,"(0, 5)"
mpumalanga,"(0, 1)"
unallocated,"(0, 1)"
43,"(0, 1)"
gender,"(0, 2)"
women,"(0, 1)"
diagnosed,"(0, 1)"
allocated,"(0, 1)"
table,"(0, 1)"
courtesy,"(0, 1)"
african,"(0, 1)"
121,"(0, 2)"
510,"(0, 2)"
tests,"(0, 3)"
conducted,"(0, 4)"
nationwide,"(0, 1)"
sectors,"(0, 1)"
sector,"(0, 4)"
leads,"(0, 1)"
total,"(0, 3)"
huge,"(0, 1)"
strides,"(0, 1)"
roll,"(0, 1)"
screening,"(0, 1)"
testing,"(0, 1)"
repeatedly,"(0, 1)"
reflection,"(0, 1)"
coountry,"(0, 1)"
truer,"(0, 1)"
picture,"(0, 1)"
lockdown,"(0, 1)"
big,"(0, 1)"
positive,"(0, 1)"
appear,"(0, 1)"
bear,"(0, 1)"
realeased,"(0, 1)"
double,"(0, 1)"
laboratories,"(0, 1)"
look,"(0, 1)"
tested,"(0, 2)"
812,"(0, 1)"
67,"(0, 1)"
052,"(0, 1)"
698,"(0, 1)"
33,"(0, 1)"
747,"(0, 1)"
grand,"(0, 1)"
799,"(0, 1)"
latest,"(0, 1)"
outbreak,"(0, 1)"
iol,"(0, 1)"
call,"(0, 1)"
hour,"(0, 1)"
hotline,"(0, 1)"
0800,"(0, 1)"
029,"(0, 1)"
999,"(0, 1)"
sacoronavirus,"(0, 1)"
za,"(0, 1)"
